country_name,country_code,discipline,event,athlete_firstname,athlete_lastname,athlete_birthdate,athlete_age,athlete_sex,athlete_height_cm,athlete_weight_kg,athlete_medal
Brazil,BRA,Triathlon,Women's Individual,Djenyfer,ARNOLD,1993-03-08,31,Female,0.0,0.0,none
Brazil,BRA,Triathlon,Men's Individual,Manoel,MESSIAS,1996-11-19,27,Male,0.0,0.0,none
Brazil,BRA,Triathlon,Men's Individual,Miguel,HIDALGO,2000-08-04,23,Male,0.0,0.0,none
Brazil,BRA,Triathlon,Women's Individual,Vittoria,LOPES,1996-03-15,28,Female,0.0,0.0,none
United States,USA,Athletics,Women's Hammer Throw,Annette Nneka,ECHIKUNWOKE,1996-07-29,27,Female,182.0,0.0,silver
United States,USA,Athletics,Men's Discus Throw,Andrew,EVANS,1991-01-25,33,Male,198.0,0.0,none
United States,USA,Athletics,Women's Heptathlon,Anna,HALL,2001-03-23,23,Female,182.0,0.0,none
United States,USA,Athletics,Women's 400m,Alexis,HOLMES,2000-01-28,24,Female,177.0,0.0,none
United States,USA,Athletics,Women's 4 x 400m Relay,Alexis,HOLMES,2000-01-28,24,Female,177.0,0.0,gold
United States,USA,Athletics,Women's 100m Hurdles,Alaysha,JOHNSON,1996-07-20,28,Female,162.0,0.0,none
United States,USA,Athletics,Men's 800m,Bryce,HOPPEL,1997-09-05,26,Male,185.0,0.0,none
United States,USA,Athletics,Men's 1500m,Hobbs,KESSLER,2003-03-15,21,Male,182.0,0.0,none
United States,USA,Athletics,Men's 800m,Hobbs,KESSLER,2003-03-15,21,Male,182.0,0.0,none
United States,USA,Athletics,Women's Shot Put,Chase,JACKSON,1994-07-20,30,Female,178.0,0.0,none
United States,USA,Athletics,Women's Heptathlon,Chari,HAWKINS,1991-05-21,33,Female,170.0,0.0,none
United States,USA,Athletics,Men's 1500m,Cole,HOCKER,2001-06-06,23,Male,177.0,0.0,gold
United States,USA,Athletics,Men's Hammer Throw,Daniel,HAUGH,1995-05-03,29,Male,182.0,0.0,none
United States,USA,Athletics,Men's 100m,Fred,KERLEY,1995-05-07,29,Male,190.0,0.0,bronze
United States,USA,Athletics,Men's 4 x 100m Relay,Fred,KERLEY,1995-05-07,29,Male,190.0,0.0,none
United States,USA,Athletics,"Men's 10,000m",Grant,FISHER,1997-04-22,27,Male,177.0,0.0,bronze
United States,USA,Athletics,Men's 5000m,Grant,FISHER,1997-04-22,27,Male,177.0,0.0,bronze
United States,USA,Athletics,Men's 110m Hurdles,Grant,HOLLOWAY,1997-11-19,26,Male,187.0,0.0,gold
United States,USA,Athletics,Women's 4 x 400m Relay,Jameesia,FORD,2005-01-26,19,Female,162.0,0.0,none
United States,USA,Athletics,Men's High Jump,Juvaughn,HARRISON,1999-04-30,25,Male,195.0,0.0,none
United States,USA,Athletics,Women's 400m,Kendall,ELLIS,1996-03-08,28,Female,172.0,0.0,none
United States,USA,Athletics,Women's 4 x 400m Relay,Kendall,ELLIS,1996-03-08,28,Female,172.0,0.0,gold
United States,USA,Athletics,Women's 3000m Steeplechase,Marisa,HOWARD,1992-08-10,31,Female,160.0,0.0,none
United States,USA,Athletics,Women's 100m,Melissa,JEFFERSON,2001-02-21,23,Female,162.0,0.0,bronze
United States,USA,Athletics,Women's 4 x 100m Relay,Melissa,JEFFERSON,2001-02-21,23,Female,162.0,0.0,gold
United States,USA,Athletics,Women's 4 x 400m Relay,Quanera,HAYES,1992-03-07,32,Female,172.0,0.0,gold
United States,USA,Athletics,Women's Triple Jump,Tori,FRANKLIN,1992-10-07,31,Female,170.0,0.0,none
Brazil,BRA,Sailing,Men's Kite,Bruno,LOBO,1993-07-26,31,Male,0.0,0.0,none
